"State","STABBR","Density_sq_mi","Population","LandArea_sq_mi","Total_Employment_Rate_Pct","Annual_Change_Pct_Employed","GDP_Pct_Change","Income2023","Income2019","Income2015","ResearchExpenditures_in_Millions","ResearchExpenditures_per_capita","ResearchExpenditures_Federal_Govt_pct","ResearchExpenditures_GDP_pct","Poverty_Pct","Number_in_Poverty","SA_UnemploymentRate","Pct_Forested","Gun_Suicide_Rate","Suicide_Rate","Gun_Homicide_Rate","Homicide_Rate","Pct_Gun_At_Home"
"Alabama","AL","101","5,108,468","50,645","55.5% ","+0.8% ","4.1% ","$62,212","$51,734","$44,765","5,701","1,006","25.3% ","2.54%","15.6% ","773,166",2.2,"70.57%",12.4,16.4,"12.9",14.8,"53%"
"Alaska","AK","1.3","733,406","570,641","61.6% ","+2% ","3.6% ","$86,631","$75,463","$73,355","339","410","25.7% ","0.67%","10.4% ","74,353",3.7,"35.16%",19.4,30,"4.2",6.7,"57%"
"Arizona","AZ","65","7,431,344","113,594","59.3% ","+1.1% ","4.9% ","$77,315","$62,055","$51,492","9,056","1,079","2.9% ","2.43%","12.4% ","905,418",3.5,"25.64%",12.1,20.3,"5.9",7.7,"36%"
"Arkansas","AR","59","3,067,732","52,035","55.6% ","+1.2% ","0.7% ","$58,700","$48,952","$42,798","892","286","4.6% ","0.69%","15.7% ","466,624",2.6,"56.31%",12.9,20.4,"9.3",11.1,"52%"
"California","CA","250","38,965,193","155,779","59.3% ","+2.7% ","4.8% ","$95,521","$80,440","$64,500","217,976","4,220","1.6% ","7.05%","12% ","4,588,687",4.6,"32.71%",4,10.6,"4.7",6.4,"16%"
"Colorado","CO","57","5,877,610","103,642","66.3% ","+1.9% ","5.8% ","$92,911","$77,127","$63,909","10,297","1,356","6.1% ","2.64%","9.3% ","536,507",2.8,"34.42%",12.8,23.8,"4.7",6.3,"38%"
"Connecticut","CT","747","3,617,176","4,842","62.8% ","+3.6% ","4.7% ","$91,665","$78,833","$71,346","9,486","2,513","0.2% ","3.38%","10.3% ","362,024",3.7,"55.24%",3.4,11.1,"3.2",4.4,"19%"
"Delaware","DE","529","1,031,890","1,949","57.7% ","0% ","3.3% ","$81,361","$70,176","$61,255","2,749","2,689","0.1% ","3.64%","10.5% ","106,027",4.2,"27.26%",7.6,13.7,"8.0",10.3,"39%"
"Florida","FL","422","22,610,726","53,625","57.6% ","+2.1% ","6.1% ","$73,331","$59,227","$49,426","11,888","495","6.4% ","1.08%","12.3% ","2,729,519",2.6,"50.68%",8.9,15.4,"5.3",6.7,"29%"
"Georgia","GA","192","11,029,227","57,513","59.6% ","+0.3% ","4.5% ","$74,632","$61,980","$51,244","8,455","745","2.3% ","1.37%","13.6% ","1,461,317",3.2,"67.28%",10.3,15.5,"9.5",11.2,"38%"
"Hawaii","HI","223","1,435,138","6,423","58.1% ","+2.1% ","3.7% ","$95,322","$83,102","$73,486","794","453","11.5% ","0.88%","10.1% ","141,925",3,"42.53%",2.9,14,"1.6",2.7,"9%"
"Idaho","ID","24","1,964,726","82,643","61.4% ","+0.7% ","7% ","$74,942","$60,999","$48,275","2,929","1,795","1.3% ","3.49%","10.1% ","193,635",2.7,"40.55%",13.8,20.4,"1.5",2.2,"58%"
"Illinois","IL","226","12,549,689","55,519","61.5% ","+2.2% ","4.1% ","$80,306","$69,187","$59,588","19,203","1,368","0.9% ","2.22%","11.6% ","1,426,517",4,"13.64%",5.2,11.5,"10.2",11.7,"23%"
"Indiana","IN","192","6,862,199","35,826","61.6% ","+1.1% ","4.8% ","$69,477","$57,603","$50,532","10,303","1,293","2.4% ","2.76%","12.3% ","821,401",3.2,"21.06%",10.2,16.6,"7.6",9.2,"42%"
"Iowa","IA","57","3,207,004","55,857","66.3% ","+1.5% ","4.1% ","$71,433","$61,691","$54,736","4,480","1,385","1.6% ","2.32%","11.3% ","351,224",2.7,"8.43%",9.2,17.2,"2.0",2.9,"39%"
"Kansas","KS","36","2,940,546","81,759","64.6% ","+0.4% ","9.7% ","$70,333","$62,087","$53,906","3,616","1,133","2.6% ","2.09%","11.2% ","319,652",2.8,"4.78%",11.8,19.1,"4.9",6.1,"42%"
